,char_numbers,digit_numbers,plane_models,plane_ids,departure_dates,departure_times,arrival_dates,arrival_times,stationTos,stationFroms,companys
50,SU,1462,Boeing 737-800,1538,2021-05-08,03:25:00,2021-05-08,07:25:00,Толмачёво,Шереметьево,Аэрофлот
51,SU,1460,Airbus A320,1539,2021-05-08,06:05:00,2021-05-08,10:15:00,Толмачёво,Шереметьево,Аэрофлот
52,S7,2505,Airbus А321,1540,2021-05-08,08:30:00,2021-05-08,12:30:00,Толмачёво,Домодедово,S7 Airlines
53,S7,2507,Boeing 737-800,1541,2021-05-08,10:25:00,2021-05-08,14:25:00,Толмачёво,Домодедово,S7 Airlines
54,DP,419,Boeing 737-800,1542,2021-05-08,17:30:00,2021-05-08,21:30:00,Толмачёво,Внуково,Победа
55,SU,1548,Airbus A320,1543,2021-05-08,17:35:00,2021-05-08,21:45:00,Толмачёво,Шереметьево,Аэрофлот
56,S7,2511,Airbus А321,1544,2021-05-08,18:05:00,2021-05-08,22:05:00,Толмачёво,Домодедово,S7 Airlines
57,WZ,437,Airbus А321,1545,2021-05-08,19:10:00,2021-05-08,23:10:00,Толмачёво,Домодедово,Red Wings
58,DP,443,Boeing 737-800,1546,2021-05-08,20:00:00,2021-05-09,00:05:00,Толмачёво,Внуково,Победа
59,S7,1215,Airbus A319,1547,2021-05-06,21:30:00,2021-05-06,23:45:00,Храброво,Домодедово,S7 Airlines
60,ZF,357,Boeing 737-800,1548,2021-05-07,03:30:00,2021-05-07,05:35:00,Храброво,Внуково,Azur Air
61,SU,1000,Airbus A321,1549,2021-05-07,03:40:00,2021-05-07,05:40:00,Храброво,Шереметьево,Аэрофлот
62,UT,389,Boeing 737-800,1550,2021-05-07,04:10:00,2021-05-07,06:10:00,Храброво,Внуково,ЮТэйр
63,DP,261,Boeing 737-800,1551,2021-05-07,04:50:00,2021-05-07,06:55:00,Храброво,Внуково,Победа
64,SU,1014,Airbus A321,1552,2021-05-07,04:55:00,2021-05-07,07:00:00,Храброво,Шереметьево,Аэрофлот
65,S7,1213,Airbus A320,1553,2021-05-07,05:40:00,2021-05-07,07:55:00,Храброво,Домодедово,S7 Airlines
66,5N,253,Boeing 737-800,1554,2021-05-07,06:35:00,2021-05-07,08:35:00,Храброво,Домодедово,Smartavia
67,DP,257,Boeing 737-800,1555,2021-05-07,06:50:00,2021-05-07,08:50:00,Храброво,Внуково,Победа
68,SU,1002,Airbus A321,1556,2021-05-07,07:10:00,2021-05-07,09:20:00,Храброво,Шереметьево,Аэрофлот
69,SU,1790,Airbus A320,1557,2021-05-07,08:05:00,2021-05-07,10:00:00,Храброво,Шереметьево,Аэрофлот
70,S7,1217,Boeing 737-800,1558,2021-05-07,08:50:00,2021-05-07,11:05:00,Храброво,Домодедово,S7 Airlines
71,DP,267,Boeing 737-800,1559,2021-05-07,09:05:00,2021-05-07,11:05:00,Храброво,Внуково,Победа
72,U6,627,Airbus А320,1560,2021-05-07,10:20:00,2021-05-07,12:20:00,Храброво,Домодедово,Уральские авиалинии
73,SU,1004,Airbus A321,1561,2021-05-07,10:40:00,2021-05-07,12:45:00,Храброво,Шереметьево,Аэрофлот
74,DP,265,Boeing 737-800,1562,2021-05-07,13:00:00,2021-05-07,15:00:00,Храброво,Внуково,Победа
